CardType,TransactionAmount,TransactionLocation,TransactionType
3,86.9736687929513,0,0
3,104.479371046582,0,0
2,122.134867419222,1,0
3,90.8528625519422,0,0
2,92.7450280233746,0,0
2,83.0893019244409,0,0
2,80.4748986775594,0,0
2,90.2537890458541,0,0
3,121.465490154696,0,0
0,101.05487321816,0,0
0,115.958290041519,0,0
0,103.514273945733,0,0
1,96.925107172503,0,0
2,103.416212139164,0,0
2,119.877799064671,1,0
1,84.9801433366591,0,0
1,81.7950290996786,0,0
0,108.805718693883,0,0
3,72.262648466226,0,0
0,112.652141426885,0,0
2,159.694789931615,0,0
1,87.2159064791108,1,0
1,123.38642737443,1,0
3,96.8789769330982,1,0
0,66.0029470684032,0,0
2,95.6139003471602,0,0
2,86.7398208977094,1,0
1,101.563100392641,0,0
1,119.630424133576,1,0
0,74.8859010396513,1,0
2,64.1602116970959,0,0
3,111.68949169616,0,0
0,121.051152589608,1,0
1,78.8542808503706,0,0
3,97.5022271564059,0,0
0,101.269172263614,0,0
0,87.2170415490313,0,0
1,102.167369377208,1,0
0,112.235137648166,0,0
3,83.5819710210909,0,0
2,109.733056108356,1,0
3,106.961321486293,0,0
2,95.5011999929605,0,0
2,112.620377354397,0,0
1,115.756197995028,0,0
0,87.7400127715201,1,0
3,87.3727011420603,0,0
3,85.3713554283262,0,0
0,79.0255485472608,0,0
2,125.254870128259,0,0
1,111.053041536923,0,0
1,137.385771943386,1,1
0,97.6385862570628,0,0
1,81.5527569885764,0,0
2,78.1692074017271,0,0
0,109.043972142377,1,0
3,86.1637308395027,0,0
2,104.290256214163,0,0
3,45.8283889572221,0,0
2,93.9141461977563,1,0
0,116.356735783308,0,0
1,101.415269785977,0,0
0,52.2970604854089,0,0
0,85.5694370139477,1,0
3,68.3180684711473,0,0
2,104.675222415628,1,0
2,89.8539261966347,0,0
1,82.8711818236429,0,0
3,120.357866243,0,0
3,81.9634496970736,0,0
1,118.419863327493,0,0
3,87.4652267877013,0,0
1,117.774267887031,0,0
3,70.9011525274986,0,0
1,110.125942771661,0,0
1,114.24074941999,0,0
1,49.5151702531754,0,0
3,67.0289857212753,0,0
3,78.504662896123,0,0
2,112.024637381677,0,0
0,109.741565177681,0,0
3,80.6228238170333,0,0
0,101.384751087927,0,0
3,99.2153847096385,0,0
3,136.44981456518,0,0
1,115.701359181936,0,0
1,107.978700422545,0,0
1,82.3754831224935,0,0
0,54.1499398772185,1,0
1,130.695934405537,0,0
2,111.997118716901,0,0
3,75.0409520689223,0,0
1,94.2386995099344,0,0
0,101.488126768096,0,0
1,90.105723941159,0,0
3,114.880733916161,0,0
0,92.2981723647753,0,0
3,81.6458510981947,0,0
2,84.4881873756707,0,0
0,115.175084391703,0,0
0,134.028037487539,0,0
1,119.041440121456,0,0
2,89.9789590030533,0,0
1,63.963881818956,1,0
1,103.557134898953,0,0
2,73.3737091165959,0,0
0,114.48910570619,0,0
2,129.562878438417,1,0
0,131.982305298184,1,0
3,79.7499795405779,0,0
1,85.8162064205494,0,0
2,109.579320885163,0,0
0,116.596230190454,1,0
2,129.125248140976,0,0
2,117.229817339619,0,0
0,138.247168803411,1,0
3,123.901854683999,0,0
3,65.7261219714403,0,0
2,74.149331239907,0,0
3,113.92797300295,1,0
3,75.8790147683355,0,0
1,105.173303027569,1,0
0,72.9991870698642,0,0
3,130.132272020024,0,0
1,86.788066960056,1,0
1,95.789870050036,0,0
1,69.5151949770151,0,0
1,78.9278515034642,0,0
0,94.5394480679635,1,0
1,61.2618051093401,0,0
3,99.451475386229,0,0
1,94.7825223133831,1,0
3,92.1380939825167,0,0
2,100.742477613647,1,0
1,92.8326627259868,0,0
0,108.51215603262,0,0
1,105.951184376796,0,0
1,115.3037111012,0,0
0,108.982927310738,0,0
3,98.025578792517,0,1
2,126.415476533603,0,0
0,100.189262394233,0,0
2,87.8754940985662,0,0
0,77.2270011367368,0,0
1,120.497656388074,0,0
3,83.4060886238472,0,0
3,127.894031942749,1,0
3,124.634738156607,0,0
1,88.2053094190413,0,0
3,90.1988698087647,1,0
3,108.625506132237,1,0
0,127.783471275477,0,0
1,84.8907357385728,0,0
0,129.187593442107,0,0
1,107.31658644188,0,0
0,110.993369802249,0,0
1,92.4190397479694,0,0
2,114.049267820594,0,0
2,134.720268017369,0,0
1,111.866130882351,0,0
3,92.5153764134682,0,0
0,107.309101875851,0,0
1,93.149301372351,0,0
2,71.4371551756414,0,0
2,108.498952335938,0,0
2,119.085567721144,0,0
0,109.483852638468,0,0
3,88.47498830458,0,0
0,107.946647985397,0,0
0,60.9976354074244,1,0
2,83.8825675159318,0,0
0,140.475954454242,0,0
2,68.4121332353688,0,0
1,113.421059438576,0,0
2,91.0333435730181,0,0
2,102.107113268931,0,0
1,101.963601575079,1,0
1,81.9466953459006,0,0
1,97.7181451359202,0,0
3,119.708640167319,0,0
0,92.043121611163,0,0
3,143.645212856614,0,0
2,80.9665173047023,0,0
2,108.38533240385,0,0
0,109.785630904086,0,0
3,104.754261358541,0,0
0,140.045369169469,1,0
1,79.1008571891327,0,0
0,86.6604232210585,0,0
3,108.885209816552,0,0
2,82.6254513800242,0,0
3,119.754132360544,1,0
1,96.5038649620928,0,0
2,139.570370898835,0,0
3,99.1264434625687,0,0
3,116.178257820623,0,0
2,67.4924739670213,0,0
2,111.183743789057,0,0
0,61.5541685500299,0,0
1,122.405180412915,1,0
3,141.869066958904,0,0
3,91.0381531375257,0,0
3,97.6397577104391,0,0
1,88.8955749402714,0,0
2,78.3107278899176,0,0
3,124.880460602756,0,0
0,120.24118918179,0,0
3,119.075952369272,0,0
2,109.630983036914,0,0
1,112.092722835126,0,0
3,103.629317347865,0,0
2,98.2808274245485,0,0
1,115.374178402131,1,0
3,93.174748674202,0,0
3,97.8880851173754,0,0
1,97.0447179440998,0,0
0,117.806527923919,1,0
3,117.699682992168,0,0
3,146.354341137666,0,0
2,98.8310173413855,0,0
0,83.8730825817237,0,0
